Season,Latitude,Longitude,FRP
DJF,6.368,8.5298,66.6
DJF,6.3686,-4.5951,68.5
DJF,6.3702,6.2908,57.0
DJF,6.3706,6.2363,113.3
DJF,6.3717,8.9902,59.8
DJF,6.3726,0.4126,83.1
DJF,6.3734,0.4439,159.7
DJF,6.3738,8.9769,78.4
DJF,6.374,8.4763,115.2
DJF,6.3752,8.6164,26.8
DJF,6.3756,-0.32,133.2
DJF,6.376,0.3686,83.1
DJF,6.3768,0.4057,89.0
DJF,6.377,8.9822,109.5
DJF,6.3777,0.4588,193.7
DJF,6.3784,8.6915,60.0
DJF,6.3785,6.0781,74.2
DJF,6.3796,0.4449,255.3
DJF,6.3796,0.4818,52.7
DJF,6.3797,6.2916,71.5
DJF,6.3799,8.5989,42.6
DJF,6.3803,4.9821,68.9
DJF,6.3812,4.9909,102.0
DJF,6.3817,6.3812,106.6
DJF,6.3819,8.9225,28.4
DJF,6.3832,8.5331,102.7
DJF,6.3832,9.3814,100.2
DJF,6.3837,6.9854,51.7
DJF,6.3838,0.4117,236.1
DJF,6.3839,6.113,178.2
DJF,6.3841,6.3758,117.1
DJF,6.3843,6.2925,65.7
DJF,6.385,0.3672,90.1
DJF,6.3854,8.5712,95.7
DJF,6.3871,0.5733,86.4
DJF,6.3875,6.8815,52.9
DJF,6.3887,4.6782,68.9
DJF,6.3888,-0.3308,123.9
DJF,6.3891,0.5608,55.1
DJF,6.3895,0.4284,88.7
DJF,6.3897,6.326,254.6
DJF,6.3898,6.2969,112.3
DJF,6.3904,-0.3195,121.7
DJF,6.391,0.3867,74.1
DJF,6.3922,0.2804,149.2
DJF,6.3922,7.3573,56.7
DJF,6.3924,0.3961,57.5
DJF,6.3933,6.3489,315.4
DJF,6.3937,8.498,228.6
DJF,6.3943,6.1552,166.4
DJF,6.3944,-0.0877,107.9
DJF,6.3945,6.275,162.4
DJF,6.3946,0.6839,54.0
DJF,6.395,0.4715,19.9
DJF,6.3952,-0.299,56.9
DJF,6.3955,-4.9791,57.9
DJF,6.3959,-0.0769,97.3
DJF,6.3959,0.3342,61.5
DJF,6.3959,0.7188,68.8
DJF,6.396,8.7111,91.6
DJF,6.3961,6.1109,173.8
DJF,6.3964,0.3555,77.0
DJF,6.3966,-0.2895,162.9
DJF,6.3981,8.5777,49.5
DJF,6.3983,5.8624,196.9
DJF,6.3987,6.3432,432.2
DJF,6.3996,6.4333,49.3
DJF,6.4003,0.3901,207.6
DJF,6.4014,-0.2697,100.6
DJF,6.4016,0.3992,64.8
DJF,6.4016,0.4893,257.2
DJF,6.4018,0.464,89.5
DJF,6.4026,8.5082,222.7
DJF,6.4027,1.0174,56.1
DJF,6.4036,9.4069,61.7
DJF,6.4044,-0.3004,82.5
DJF,6.4044,-0.2881,84.0
DJF,6.4049,9.398,51.9
DJF,6.4051,6.986,77.4
DJF,6.4052,-0.0736,103.3
DJF,6.4052,0.4376,80.3
DJF,6.4054,0.389,135.6
DJF,6.4057,6.0913,176.9
DJF,6.4064,6.9952,106.1
DJF,6.4065,-0.064,54.6
DJF,6.4068,0.3981,171.6
DJF,6.408,9.4125,35.4
DJF,6.4087,0.416,329.6
DJF,6.4093,-0.3342,73.9
DJF,6.4094,-0.3304,61.5
DJF,6.4096,0.4751,148.5
DJF,6.4097,7.6085,55.7
DJF,6.41,0.4986,163.5
DJF,6.4102,6.2057,81.3
DJF,6.4103,0.4212,590.3
DJF,6.4105,0.4378,468.2
DJF,6.4107,0.3827,189.8
DJF,6.4108,6.1999,152.7
DJF,6.4111,0.4654,192.7
DJF,6.4114,0.4431,148.4
DJF,6.4119,6.1942,87.1
DJF,6.4121,8.6988,77.3
DJF,6.4128,6.9755,94.4
DJF,6.4137,0.4422,663.1
DJF,6.4141,6.9847,363.8
DJF,6.4144,-0.3418,58.3
DJF,6.4154,6.9939,95.1
DJF,6.4159,0.4135,70.6
DJF,6.416,6.3047,76.7
DJF,6.417,6.3276,15.2
DJF,6.4179,0.4944,213.9
DJF,6.4196,6.1798,143.5
DJF,6.4197,6.1424,85.6
DJF,6.4205,0.4603,139.6
DJF,6.4205,6.1366,88.1
DJF,6.4208,6.2014,185.1
DJF,6.4215,0.3933,69.9
DJF,6.4217,0.4208,125.4
DJF,6.4221,6.1329,300.4
DJF,6.4221,6.208,43.7
DJF,6.4231,0.4111,98.2
DJF,6.4232,6.9834,140.9
DJF,6.4234,6.217,28.3
DJF,6.4235,6.4948,17.7
DJF,6.4236,0.4357,607.2
DJF,6.4252,0.3382,19.9
DJF,6.4252,6.1492,16.7
DJF,6.4254,0.6732,119.6
DJF,6.4255,7.0918,122.1
DJF,6.4259,6.0817,22.0
DJF,6.4264,5.9777,17.3
DJF,6.4265,6.1403,21.2
DJF,6.4265,8.6944,69.4
DJF,6.4267,0.4401,272.5
DJF,6.4288,8.6289,53.4
DJF,6.4294,7.1798,59.0
DJF,6.4296,5.9803,68.5
DJF,6.4309,0.4221,373.6
DJF,6.4309,6.0893,29.4
DJF,6.431,6.1479,70.6
DJF,6.4323,8.6685,71.1
DJF,6.4324,0.4125,78.8
DJF,6.4325,0.6795,125.1
DJF,6.4329,6.9951,66.4
DJF,6.4331,5.8278,55.3
DJF,6.4338,6.9261,159.9
